Title,Category,Priority,Status,Effort_days,Module,Description,Acceptance,References
"CEA element-potential method for 5-10x faster TP equilibrium",数値精度,P1,Backlog,10,equilibrium,"Current SLSQP takes 1-3s for 100 species. Implement CEA RP-1311 Newton-Raphson element potential method to reach <0.2s.","Equilibrium runs in <0.5s for 100 species; matches CEA reference output to 1%.","NASA RP-1311 Section 6.4"
"Wilhoit b-parameter species DB",数値精度,P2,Backlog,3,thermo,"Currently user-specified. Auto-derive from atom count + vibration modes for common species.","WilhoitCp.fit_default(species_name) returns reasonable b for 50+ species.","NASA RP-1271"
"Stark coefficient alpha(Te) lookup table",数値精度,P2,Backlog,2,plasma,"Replace constant alpha=1e23 with Te-dependent table for ne accuracy 30%->5%.","ne measurement error reduced to <5% on benchmark cases.","Gigosos & Cardenoso 1996 JPB 29:4795"
"Lissajous displacement-current correction",数値精度,P2,Backlog,3,electrical,"Add monitor Cm input field; subtract stray capacitance contribution.","P_bar agreement between E/T and Lissajous within 5%.","Peeters & van der Laan 2015 PSST 24:015014"
"rise_time first_pulse mode tuning",数値精度,P2,Backlog,2,signal,"Optimize prominence and peak window per species/condition.","rise_time variance < 10% across PW0.5-2.0 conditions.",
"NASA9 boundary 2nd derivative continuity check",数値精度,P3,Backlog,2,thermo,"Detect Cp 2nd derivative discontinuity at temperature-range boundaries.","Test that flags 50% of NASA9 species with discontinuities >0.1.",
"Multi-root HP/UV equilibrium solver",数値精度,P2,Backlog,5,equilibrium,"Brent assumes unimodal; use multi-start to find all roots.","Returns multiple solutions when present.",
"6-term EEDF expansion for high E/N",数値精度,P3,Backlog,8,plasma.eedf,"Two-term breaks at >1000 Td. Implement 6-term spherical harmonic expansion.","Accuracy <10% vs BOLSIG+ at 2000 Td.",
"Arrhenius/Lindemann reaction rate evaluator",数値精度,P2,Backlog,4,chemistry,"k(T) = A T^n exp(-Ea/RT) with optional Lindemann form for pressure-dependent reactions.","Reproduces GRI-Mech rate constants within 1%.",
"TP equilibrium condensed-phase hysteresis",数値精度,P2,Backlog,2,equilibrium,"Once-in-stays-in threshold to prevent oscillation.","No species toggling within iteration tolerance.",
"Shiny modularize 12 tabs to hierarchical sidenav",UI,P1,Backlog,5,ui,"12 tabs overflow horizontally. Group into Tier 1/2/3/Twin via left sidebar nav.","All tabs reachable in <=2 clicks.",
"Cantera ReactionPathDiagram graphviz rendering",UI,P1,Backlog,5,ui,"Generate dot file via Cantera, render with subprocess graphviz.","C/H/O flux diagrams display in Reaction Path tab.",
"Equilibrium async with extended_task",UI,P1,Backlog,2,ui,"1-3s blocking calculations make UI feel frozen.","UI responsive during equilibrium runs.",
"Reaction Path YAML and visualization sub-tabs",UI,P2,Backlog,1,ui,"Separate text YAML from visual diagram.","Two sub-tabs side-by-side.",
"Consistent paper/screen plot mode across all plots",UI,P2,Backlog,2,ui,"Currently inconsistent. Apply single switch globally.","All plots respect plot_mode setting.",
"Tutorial mode for B4 first-time users",UI,P2,Backlog,5,ui,"Modal walkthrough on first launch.","B4 student can analyze a sample dataset in <30min.",
"Multi-condition comparison tab (Pareto front)",UI,P1,Backlog,5,ui,"Load multiple CSVs, plot SEI vs chi_CO2 scatter.","Direct paper Fig.3 ready output.",
"KaTeX physics macro support",UI,P3,Backlog,1,ui,"Add \\dv, \\norm, etc.","Custom macros render correctly.",
"Dark mode for UI and plots",UI,P3,Backlog,2,ui,"Reduces eye strain at night.","Toggle persists across sessions.",
"Tablet/iPad layout (M2/M4 Pad)",UI,P3,Backlog,4,ui,"Field reference use case.","All tabs usable on iPad Pro 11/13 inch.",
"Reproduce-CLI clipboard button on Trace cards",UI,P2,Backlog,1,ui,"Use existing provenance to emit copyable command.","Click copies python -m oscillo_plasma_calc.cli ... command.",
